image_path,label,split
val/Tomato_Spider_Mites/PlantVillage_val_PlantVillage_val_Tomato___Spider_mites Two-spotted_spider_mite_071550.jpg,Tomato_Spider_Mites,val
train/Cherry_(including_sour)_healthy/PlantVillage_train_PlantVillage_train_Cherry_(including_sour)___healthy_023697.jpg,Cherry_(including_sour)_healthy,train
train/Tomato_Late_Blight/PlantVillage_train_PlantVillage_train_Tomato___Late_blight_053522.jpg,Tomato_Late_Blight,train
train/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_train_PlantVillage_train_Orange___Haunglongbing_(Citrus_greening)_034955.jpg,Orange_Haunglongbing_(Citrus_greening),train
train/Tomato_Septoria_Leaf_Spot/PlantVillage_train_PlantVillage_train_Tomato___Septoria_leaf_spot_055145.jpg,Tomato_Septoria_Leaf_Spot,train
val/Soybean_healthy/PlantVillage_val_PlantVillage_val_Soybean___healthy_068750.jpg,Soybean_healthy,val
train/Rice_Blast/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_blast_077360.jpeg,Rice_Blast,train
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_016261.jpg,Cassava_Mosaic_Disease,train
train/Corn_rust_leaf/plantDoc_train_plantDoc_train_Corn_rust_leaf_020159.jpg,Corn_rust_leaf,train
train/Corn_(maize)_healthy/PlantVillage_train_PlantVillage_train_Corn_(maize)___healthy_026489.jpg,Corn_(maize)_healthy,train
train/Rice_Scald/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_scald_085865.jpg,Rice_Scald,train
train/Apple_Black_Rot/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Black_rot_004525.jpg,Apple_Black_Rot,train
test/Cherry_(including_sour)_healthy/PlantVillage_test_PlantVillage_train_Cherry_(including_sour)___healthy_023323.jpg,Cherry_(including_sour)_healthy,test
train/Peach_Bacterial_spot/PlantVillage_train_PlantVillage_train_Peach___Bacterial_spot_036600.jpg,Peach_Bacterial_spot,train
test/Cassava_Brown_Streak_Disease/Cassava_test_Cassava_train_cbsd_014531.jpg,Cassava_Brown_Streak_Disease,test
train/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_006827.jpg,Apple_Cedar_Apple_Rust,train
train/Tomato_Spider_Mites/PlantVillage_train_PlantVillage_train_Tomato___Spider_mites Two-spotted_spider_mite_056029.jpg,Tomato_Spider_Mites,train
train/Grape_Esca_(Black_Measles)/PlantVillage_train_PlantVillage_train_Grape___Esca_(Black_Measles)_029423.jpg,Grape_Esca_(Black_Measles),train
val/Apple_Scab/Apple_Disease_Dataset_val_Apple_Disease_Dataset_train_Apple___Apple_scab_003938.jpg,Apple_Scab,val
test/Apple_Healthy/Apple_Disease_Dataset_test_Apple_Disease_Dataset_test_Apple___healthy_001595.jpg,Apple_Healthy,test
train/Peach_Bacterial_spot/PlantVillage_train_PlantVillage_train_Peach___Bacterial_spot_037152.jpg,Peach_Bacterial_spot,train
test/Rice_Leaf_Folder/rice-leaf-disease-riceguard_test_rice-leaf-disease-riceguard_test_leaf_folder_074988.jpeg,Rice_Leaf_Folder,test
train/Cassava_Brown_Streak_Disease/Cassava_train_Cassava_train_cbsd_014337.jpg,Cassava_Brown_Streak_Disease,train
train/Raspberry_leaf/plantDoc_train_plantDoc_train_Raspberry_leaf_020854.jpg,Raspberry_leaf,train
test/Tomato_Yellow_Leaf_Curl_Virus/PlantVillage_test_PlantVillage_train_Tomato___Tomato_Yellow_Leaf_Curl_Virus_059818.jpg,Tomato_Yellow_Leaf_Curl_Virus,test
val/Peach_Bacterial_spot/PlantVillage_val_PlantVillage_val_Peach___Bacterial_spot_066678.jpg,Peach_Bacterial_spot,val
train/Tomato_Yellow_Leaf_Curl_Virus/PlantVillage_train_PlantVillage_train_Tomato___Tomato_Yellow_Leaf_Curl_Virus_060168.jpg,Tomato_Yellow_Leaf_Curl_Virus,train
train/Strawberry_leaf/plantDoc_train_plantDoc_train_Strawberry_leaf_021145.jpg,Strawberry_leaf,train
train/Corn_(maize)_healthy/PlantVillage_train_PlantVillage_train_Corn_(maize)___healthy_026589.jpg,Corn_(maize)_healthy,train
train/Peach_leaf/plantDoc_train_plantDoc_train_Peach_leaf_020378.jpg,Peach_leaf,train
val/Soybean_healthy/PlantVillage_val_PlantVillage_val_Soybean___healthy_068406.jpg,Soybean_healthy,val
train/Peach_Bacterial_spot/PlantVillage_train_PlantVillage_train_Peach___Bacterial_spot_037227.jpg,Peach_Bacterial_spot,train
train/Rice_Bacterial_Leaf_Stripe/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_stripes_087261.jpeg,Rice_Bacterial_Leaf_Stripe,train
train/Rice_Scald/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_scald_085764.jpg,Rice_Scald,train
train/Corn_(maize)_Northern_Leaf_Blight/PlantVillage_train_PlantVillage_train_Corn_(maize)___Northern_Leaf_Blight_027210.jpg,Corn_(maize)_Northern_Leaf_Blight,train
train/Potato_Early_Blight/PlantVillage_train_PlantVillage_train_Potato___Early_blight_040320.jpg,Potato_Early_Blight,train
train/Apple_Scab/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Apple_scab_003712.jpg,Apple_Scab,train
train/Apple_Black_Rot/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Black_rot_004486.jpg,Apple_Black_Rot,train
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_079993.jpeg,Rice_Healthy,train
train/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_006146.jpg,Apple_Cedar_Apple_Rust,train
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_042062.jpg,Soybean_healthy,train
train/Tomato_Early_Blight/PlantVillage_train_PlantVillage_train_Tomato___Early_blight_050798.jpg,Tomato_Early_Blight,train
train/Tomato_Mosaic_Virus/PlantVillage_train_PlantVillage_train_Tomato___Tomato_mosaic_virus_058346.jpg,Tomato_Mosaic_Virus,train
train/Rice_Tungro/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_tungro_088292.jpeg,Rice_Tungro,train
train/Apple_Healthy/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___healthy_009241.jpg,Apple_Healthy,train
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_042234.jpg,Soybean_healthy,train
train/Apple_Black_Rot/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Black_rot_005557.jpg,Apple_Black_Rot,train
train/Corn_(maize)_Northern_Leaf_Blight/PlantVillage_train_PlantVillage_train_Corn_(maize)___Northern_Leaf_Blight_027172.jpg,Corn_(maize)_Northern_Leaf_Blight,train
train/grape_leaf_black_rot/plantDoc_train_plantDoc_train_grape_leaf_black_rot_020320.jpg,grape_leaf_black_rot,train
"train/Bell_Pepper_Bacterial_Spot/PlantVillage_train_PlantVillage_train_Pepper,_bell___Bacterial_spot_038359.jpg",Bell_Pepper_Bacterial_Spot,train
train/Blueberry_healthy/PlantVillage_train_PlantVillage_train_Blueberry___healthy_022544.jpg,Blueberry_healthy,train
train/Peach_leaf/plantDoc_train_plantDoc_train_Peach_leaf_020392.jpg,Peach_leaf,train
train/Blueberry_leaf/plantDoc_train_plantDoc_train_Blueberry_leaf_019786.jpg,Blueberry_leaf,train
train/Apple_Healthy/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___healthy_007828.jpg,Apple_Healthy,train
train/Apple_Scab/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Apple_scab_003783.jpg,Apple_Scab,train
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_082167.jpeg,Rice_Healthy,train
train/Rice_Leaf_Folder/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_leaf_folder_084770.jpeg,Rice_Leaf_Folder,train
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_045134.jpg,Soybean_healthy,train
val/Cherry_(including_sour)_Powdery_mildew/PlantVillage_val_PlantVillage_val_Cherry_(including_sour)___Powdery_mildew_063565.jpg,Cherry_(including_sour)_Powdery_mildew,val
train/Potato_Late_Blight/PlantVillage_train_PlantVillage_train_Potato___Late_blight_040916.jpg,Potato_Late_Blight,train
train/Rice_Bacterial_Leaf_Stripe/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_stripes_086814.jpeg,Rice_Bacterial_Leaf_Stripe,train
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_081557.jpeg,Rice_Healthy,train
test/Apple_Black_Rot/plantDoc_test_plantDoc_test_Apple_rust_leaf_019107.jpg,Apple_Black_Rot,test
train/Corn_(maize)_healthy/PlantVillage_train_PlantVillage_train_Corn_(maize)___healthy_026655.jpg,Corn_(maize)_healthy,train
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_016686.jpg,Cassava_Mosaic_Disease,train
val/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_val_PlantVillage_val_Orange___Haunglongbing_(Citrus_greening)_066040.jpg,Orange_Haunglongbing_(Citrus_greening),val
train/Tomato_Early_Blight/PlantVillage_train_PlantVillage_train_Tomato___Early_blight_050584.jpg,Tomato_Early_Blight,train
"val/Bell_Pepper_Bacterial_Spot/PlantVillage_val_PlantVillage_val_Pepper,_bell___Bacterial_spot_066945.jpg",Bell_Pepper_Bacterial_Spot,val
val/Rice_Healthy/rice-leaf-disease-riceguard_val_rice-leaf-disease-riceguard_val_healthy_089814.jpeg,Rice_Healthy,val
test/Tomato_Leaf_Mold/PlantVillage_test_PlantVillage_train_Tomato___Leaf_Mold_053946.jpg,Tomato_Leaf_Mold,test
train/Cassava_Green_Mite/Cassava_train_Cassava_train_cgm_015838.jpg,Cassava_Green_Mite,train
val/Tomato_Late_Blight/PlantVillage_val_PlantVillage_val_Tomato___Late_blight_070705.jpg,Tomato_Late_Blight,val
train/Peach_Bacterial_spot/PlantVillage_train_PlantVillage_train_Peach___Bacterial_spot_036722.jpg,Peach_Bacterial_spot,train
train/Rice_Bacterial_Leaf_Stripe/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_stripes_087277.jpeg,Rice_Bacterial_Leaf_Stripe,train
val/Potato_Late_Blight/PlantVillage_val_PlantVillage_val_Potato___Late_blight_067690.jpg,Potato_Late_Blight,val
train/Potato_Healthy/PlantVillage_train_PlantVillage_train_Potato___healthy_040498.jpg,Potato_Healthy,train
train/Potato_Late_Blight/PlantVillage_train_PlantVillage_train_Potato___Late_blight_040777.jpg,Potato_Late_Blight,train
val/Peach_Bacterial_spot/PlantVillage_val_PlantVillage_val_Peach___Bacterial_spot_066518.jpg,Peach_Bacterial_spot,val
test/Potato_Early_Blight/PlantVillage_test_PlantVillage_train_Potato___Early_blight_039698.jpg,Potato_Early_Blight,test
train/Apple_Black_Rot/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Black_rot_005855.jpg,Apple_Black_Rot,train
train/Corn_(maize)_Cercospora_leaf_spot_Gray_leaf_spot/PlantVillage_train_PlantVillage_train_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_024753.jpg,Corn_(maize)_Cercospora_leaf_spot_Gray_leaf_spot,train
train/Tomato_Target_Spot/PlantVillage_train_PlantVillage_train_Tomato___Target_Spot_057564.jpg,Tomato_Target_Spot,train
test/Apple_Healthy/Apple_Disease_Dataset_test_Apple_Disease_Dataset_test_Apple___healthy_001784.jpg,Apple_Healthy,test
train/Tomato_Target_Spot/PlantVillage_train_PlantVillage_train_Tomato___Target_Spot_058103.jpg,Tomato_Target_Spot,train
val/Tomato_Target_Spot/PlantVillage_val_PlantVillage_val_Tomato___Target_Spot_071851.jpg,Tomato_Target_Spot,val
train/Corn_(maize)_healthy/PlantVillage_train_PlantVillage_train_Corn_(maize)___healthy_026569.jpg,Corn_(maize)_healthy,train
train/Grape_Esca_(Black_Measles)/PlantVillage_train_PlantVillage_train_Grape___Esca_(Black_Measles)_028827.jpg,Grape_Esca_(Black_Measles),train
train/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_007281.jpg,Apple_Cedar_Apple_Rust,train
train/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_006819.jpg,Apple_Cedar_Apple_Rust,train
train/Tomato_Healthy/PlantVillage_train_PlantVillage_train_Tomato___healthy_052149.jpg,Tomato_Healthy,train
train/Tomato_Leaf_Mold/PlantVillage_train_PlantVillage_train_Tomato___Leaf_Mold_053681.jpg,Tomato_Leaf_Mold,train
val/Blueberry_healthy/PlantVillage_val_PlantVillage_val_Blueberry___healthy_063141.jpg,Blueberry_healthy,val
train/Blueberry_healthy/PlantVillage_train_PlantVillage_train_Blueberry___healthy_022846.jpg,Blueberry_healthy,train
test/Apple_Scab/Apple_Disease_Dataset_test_Apple_Disease_Dataset_test_Apple___Apple_scab_000185.jpg,Apple_Scab,test
test/Tomato_Bacterial_Spot/PlantVillage_test_PlantVillage_train_Tomato___Bacterial_spot_048932.jpg,Tomato_Bacterial_Spot,test
val/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_val_PlantVillage_val_Orange___Haunglongbing_(Citrus_greening)_065505.jpg,Orange_Haunglongbing_(Citrus_greening),val
train/Corn_rust_leaf/plantDoc_train_plantDoc_train_Corn_rust_leaf_020173.jpg,Corn_rust_leaf,train
train/Blueberry_healthy/PlantVillage_train_PlantVillage_train_Blueberry___healthy_022531.jpg,Blueberry_healthy,train
train/Tomato_Yellow_Leaf_Curl_Virus/plantDoc_train_plantDoc_train_Tomato_leaf_yellow_virus_021571.jpg,Tomato_Yellow_Leaf_Curl_Virus,train
train/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_train_PlantVillage_train_Orange___Haunglongbing_(Citrus_greening)_031576.jpg,Orange_Haunglongbing_(Citrus_greening),train
val/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_val_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_006595.jpg,Apple_Cedar_Apple_Rust,val
train/Grape_healthy/PlantVillage_train_PlantVillage_train_Grape___healthy_029988.jpg,Grape_healthy,train
val/Soybean_healthy/PlantVillage_val_PlantVillage_val_Soybean___healthy_068534.jpg,Soybean_healthy,val
train/Rice_Tungro/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_tungro_088473.jpeg,Rice_Tungro,train
train/Corn_(maize)_healthy/PlantVillage_train_PlantVillage_train_Corn_(maize)___healthy_026417.jpg,Corn_(maize)_healthy,train
train/grape_leaf/plantDoc_train_plantDoc_train_grape_leaf_020270.jpg,grape_leaf,train
train/Tomato_Target_Spot/PlantVillage_train_PlantVillage_train_Tomato___Target_Spot_058312.jpg,Tomato_Target_Spot,train
train/Corn_(maize)_Northern_Leaf_Blight/PlantVillage_train_PlantVillage_train_Corn_(maize)___Northern_Leaf_Blight_027194.jpg,Corn_(maize)_Northern_Leaf_Blight,train
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_016425.jpg,Cassava_Mosaic_Disease,train
train/Rice_Leaf_Folder/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_leaf_folder_085067.jpeg,Rice_Leaf_Folder,train
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_042119.jpg,Soybean_healthy,train
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_018530.jpg,Cassava_Mosaic_Disease,train
val/Peach_Bacterial_spot/PlantVillage_val_PlantVillage_val_Peach___Bacterial_spot_066498.jpg,Peach_Bacterial_spot,val
train/Bell_Pepper_Bacterial_Spot/plantDoc_train_plantDoc_train_Bell_pepper_leaf_spot_019680.jpg,Bell_Pepper_Bacterial_Spot,train
train/Blueberry_leaf/plantDoc_train_plantDoc_train_Blueberry_leaf_019763.jpg,Blueberry_leaf,train
train/Cherry_leaf/plantDoc_train_plantDoc_train_Cherry_leaf_019847.jpg,Cherry_leaf,train
val/Soybean_healthy/PlantVillage_val_PlantVillage_val_Soybean___healthy_067972.jpg,Soybean_healthy,val
test/Tomato_Late_Blight/PlantVillage_test_PlantVillage_train_Tomato___Late_blight_053163.jpg,Tomato_Late_Blight,test
train/Rice_Bacterial_Leaf_Stripe/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_stripes_086692.jpeg,Rice_Bacterial_Leaf_Stripe,train
train/Apple_Scab/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Apple_scab_003382.jpg,Apple_Scab,train
train/Tomato_Spider_Mites/PlantVillage_train_PlantVillage_train_Tomato___Spider_mites Two-spotted_spider_mite_056846.jpg,Tomato_Spider_Mites,train
train/Blueberry_healthy/PlantVillage_train_PlantVillage_train_Blueberry___healthy_022836.jpg,Blueberry_healthy,train
train/Grape_Leaf_blight_(Isariopsis_Leaf_Spot)/PlantVillage_train_PlantVillage_train_Grape___Leaf_blight_(Isariopsis_Leaf_Spot)_030931.jpg,Grape_Leaf_blight_(Isariopsis_Leaf_Spot),train
test/Rice_Healthy/rice-leaf-disease-riceguard_test_rice-leaf-disease-riceguard_test_healthy_074368.jpeg,Rice_Healthy,test
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_041995.jpg,Soybean_healthy,train
train/Squash_Powdery_mildew/PlantVillage_train_PlantVillage_train_Squash___Powdery_mildew_046544.jpg,Squash_Powdery_mildew,train
train/Soybean_healthy/PlantVillage_train_PlantVillage_train_Soybean___healthy_043782.jpg,Soybean_healthy,train
train/Corn_rust_leaf/plantDoc_train_plantDoc_train_Corn_rust_leaf_020184.jpg,Corn_rust_leaf,train
train/Tomato_Late_Blight/PlantVillage_train_PlantVillage_train_Tomato___Late_blight_053441.jpg,Tomato_Late_Blight,train
"train/Bell_Pepper_Healthy/PlantVillage_train_PlantVillage_train_Pepper,_bell___healthy_039499.jpg",Bell_Pepper_Healthy,train
train/Tomato_Late_Blight/PlantVillage_train_PlantVillage_train_Tomato___Late_blight_053316.jpg,Tomato_Late_Blight,train
"train/Bell_Pepper_Bacterial_Spot/PlantVillage_train_PlantVillage_train_Pepper,_bell___Bacterial_spot_038360.jpg",Bell_Pepper_Bacterial_Spot,train
train/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_train_PlantVillage_train_Orange___Haunglongbing_(Citrus_greening)_031523.jpg,Orange_Haunglongbing_(Citrus_greening),train
train/Cassava_Brown_Streak_Disease/Cassava_train_Cassava_train_cbsd_014463.jpg,Cassava_Brown_Streak_Disease,train
train/Corn_(maize)_Common_rust_/PlantVillage_train_PlantVillage_train_Corn_(maize)___Common_rust__025379.jpg,Corn_(maize)_Common_rust_,train
train/Corn_(maize)_Northern_Leaf_Blight/PlantVillage_train_PlantVillage_train_Corn_(maize)___Northern_Leaf_Blight_027160.jpg,Corn_(maize)_Northern_Leaf_Blight,train
train/Peach_healthy/PlantVillage_train_PlantVillage_train_Peach___healthy_037521.jpg,Peach_healthy,train
train/Apple_Scab/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Apple_scab_003086.jpg,Apple_Scab,train
train/Potato_Late_Blight/PlantVillage_train_PlantVillage_train_Potato___Late_blight_040895.jpg,Potato_Late_Blight,train
val/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_val_PlantVillage_val_Orange___Haunglongbing_(Citrus_greening)_066081.jpg,Orange_Haunglongbing_(Citrus_greening),val
train/Corn_(maize)_Cercospora_leaf_spot_Gray_leaf_spot/PlantVillage_train_PlantVillage_train_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot_024890.jpg,Corn_(maize)_Cercospora_leaf_spot_Gray_leaf_spot,train
train/Squash_Powdery_mildew_leaf/plantDoc_train_plantDoc_train_Squash_Powdery_mildew_leaf_021050.jpg,Squash_Powdery_mildew_leaf,train
train/Rice_Tungro/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_tungro_087539.jpeg,Rice_Tungro,train
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_018605.jpg,Cassava_Mosaic_Disease,train
train/grape_leaf_black_rot/plantDoc_train_plantDoc_train_grape_leaf_black_rot_020327.jpg,grape_leaf_black_rot,train
test/Grape_Esca_(Black_Measles)/PlantVillage_test_PlantVillage_train_Grape___Esca_(Black_Measles)_029460.jpg,Grape_Esca_(Black_Measles),test
train/Rice_Healthy/rice-leaf-disease-riceguard_train_rice-leaf-disease-riceguard_train_healthy_082633.jpg,Rice_Healthy,train
train/Raspberry_healthy/PlantVillage_train_PlantVillage_train_Raspberry___healthy_041518.jpg,Raspberry_healthy,train
test/Tomato_Early_Blight/PlantVillage_test_PlantVillage_train_Tomato___Early_blight_050366.jpg,Tomato_Early_Blight,test
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_017054.jpg,Cassava_Mosaic_Disease,train
test/Apple_Black_Rot/Apple_Disease_Dataset_test_Apple_Disease_Dataset_test_Apple___Black_rot_000977.jpg,Apple_Black_Rot,test
train/Tomato_Septoria_Leaf_Spot/PlantVillage_train_PlantVillage_train_Tomato___Septoria_leaf_spot_054555.jpg,Tomato_Septoria_Leaf_Spot,train
val/Cassava_Healthy/Cassava_val_Cassava_train_healthy_019022.jpg,Cassava_Healthy,val
train/Cassava_Brown_Streak_Disease/Cassava_train_Cassava_train_cbsd_014994.jpg,Cassava_Brown_Streak_Disease,train
test/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_test_Apple_Disease_Dataset_test_Apple___Cedar_apple_rust_001178.jpg,Apple_Cedar_Apple_Rust,test
train/Squash_Powdery_mildew/PlantVillage_train_PlantVillage_train_Squash___Powdery_mildew_047090.jpg,Squash_Powdery_mildew,train
train/Tomato_Healthy/PlantVillage_train_PlantVillage_train_Tomato___healthy_050901.jpg,Tomato_Healthy,train
train/Tomato_Early_Blight/PlantVillage_train_PlantVillage_train_Tomato___Early_blight_050351.jpg,Tomato_Early_Blight,train
train/Squash_Powdery_mildew_leaf/plantDoc_train_plantDoc_train_Squash_Powdery_mildew_leaf_021025.jpg,Squash_Powdery_mildew_leaf,train
train/Peach_Bacterial_spot/PlantVillage_train_PlantVillage_train_Peach___Bacterial_spot_037026.jpg,Peach_Bacterial_spot,train
train/Apple_Cedar_Apple_Rust/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Cedar_apple_rust_007185.jpg,Apple_Cedar_Apple_Rust,train
train/Apple_Healthy/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___healthy_008634.jpg,Apple_Healthy,train
val/Strawberry_Leaf_scorch/PlantVillage_val_PlantVillage_val_Strawberry___Leaf_scorch_069496.jpg,Strawberry_Leaf_scorch,val
train/Cassava_Mosaic_Disease/Cassava_train_Cassava_train_cmd_017753.jpg,Cassava_Mosaic_Disease,train
train/Apple_Scab/Apple_Disease_Dataset_train_Apple_Disease_Dataset_train_Apple___Apple_scab_002719.jpg,Apple_Scab,train
train/Cassava_Brown_Streak_Disease/Cassava_train_Cassava_train_cbsd_013997.jpg,Cassava_Brown_Streak_Disease,train
test/Rice_Healthy/rice-leaf-disease-riceguard_test_rice-leaf-disease-riceguard_test_healthy_074239.jpeg,Rice_Healthy,test
val/Orange_Haunglongbing_(Citrus_greening)/PlantVillage_val_PlantVillage_val_Orange___Haunglongbing_(Citrus_greening)_065932.jpg,Orange_Haunglongbing_(Citrus_greening),val
train/Grape_healthy/PlantVillage_train_PlantVillage_train_Grape___healthy_030140.jpg,Grape_healthy,train
train/Strawberry_Leaf_scorch/PlantVillage_train_PlantVillage_train_Strawberry___Leaf_scorch_048079.jpg,Strawberry_Leaf_scorch,train
val/Peach_Bacterial_spot/PlantVillage_val_PlantVillage_val_Peach___Bacterial_spot_066615.jpg,Peach_Bacterial_spot,val
"val/Bell_Pepper_Healthy/PlantVillage_val_PlantVillage_val_Pepper,_bell___healthy_067006.jpg",Bell_Pepper_Healthy,val
train/Tomato_Target_Spot/PlantVillage_train_PlantVillage_train_Tomato___Target_Spot_058128.jpg,Tomato_Target_Spot,train
